Date,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Workout Duration,Notes,Workout Notes
2026-05-03 07:00:00,Morning Corrective,Surya Namaskar,1,0,12,,0,20m 15s,,
2026-05-03 07:00:00,Morning Corrective,Bird Dog,1,0,10,,0,20m 15s,,
2026-05-03 07:00:00,Morning Corrective,Bird Dog,2,0,10,,0,20m 15s,,
2026-05-03 07:00:00,Morning Corrective,Glute Bridge,1,0,15,,0,20m 15s,,
2026-05-03 07:00:00,Morning Corrective,Glute Bridge,2,0,15,,0,20m 15s,,
2026-05-03 07:00:00,Morning Corrective,Band Pull-Apart,1,0,12,,0,20m 15s,,
2026-05-03 07:00:00,Morning Corrective,Push-up,1,0,8,,0,20m 15s,,
2026-05-03 07:00:00,Morning Corrective,Push-up,2,0,7,,0,20m 15s,,
2026-05-04 07:30:00,Quick Stretch,Surya Namaskar,1,0,10,,0,12m 0s,,
2026-05-04 07:30:00,Quick Stretch,Glute Bridge,1,0,12,,0,12m 0s,,
2026-05-04 07:30:00,Quick Stretch,Push-up,1,0,10,,0,12m 0s,,
2026-05-05 08:00:00,Strength Test,Bench Press,1,40,8,,0,25m 45s,,
2026-05-05 08:00:00,Strength Test,Bench Press,2,40,6,,0,25m 45s,,
2026-05-05 08:00:00,Strength Test,Lat Pulldown,1,30,10,,0,25m 45s,,
